"","School number","District type","State","N. HS students (Black + White)","Pct. White","Pct. Black","(Black + White) / total","Pct. algebra 1, grades 7-8 (Whites)","Pct. algebra 1, grades 7-8 (Blacks)","Pct. algebra 1, grades 7-8 (Black-White ratio)","Pct. parents with BA+ (Whites)","Pct. parents with BA+ (Blacks)","Pct. parents with BA+ (Black-White ratio)","AP math enrollment rate (Blacks + White)","AP math enrollment rate (Blacks)","AP math enrollment rate (Whites)","White-Black enrollment rate gap"
"1","1","Suburb, Large","AL",99,62,39,80,18,3,17,30,10,34,16,11,19,8
"2","2","Suburb, Large","AL",332,87,14,93,17,11,63,41,30,73,26,14,28,15
"3","3","Sururb, Small","AL",117,87,14,83,8,14,183,10,9,92,26,19,27,8
"4","4","Suburb, Large","AL",236,82,19,89,11,5,49,17,10,59,12,5,14,9
"5","5","Town, Distant","AL",54,47,54,86,14,16,113,17,19,116,10,11,8,-2
"6","6","Town, Remote","AL",177,42,59,95,19,6,30,32,11,35,27,10,50,41
"7","7","Rural, Fringe","AL",176,47,54,91,5,6,140,25,8,31,10,10,10,1
"8","8","Town, Distant","AL",69,79,22,98,23,14,61,12,12,99,21,27,19,-8
"9","9","Suburb, Large","AL",243,71,30,82,50,45,92,69,31,45,31,12,39,27
"10","10","City, Small","AL",102,72,29,97,45,37,83,34,20,58,20,4,27,23
"11","11","City, Small","AL",185,83,18,92,21,6,25,25,26,104,14,13,14,2
"12","12","Rural, Fringe","AL",87,75,26,97,14,27,196,15,4,25,19,14,20,7
"13","13","City, Small","AL",277,66,35,90,28,17,61,20,23,115,11,3,15,13
"14","14","Town, Fringe","AL",157,54,47,97,9,3,28,20,9,44,13,7,18,12
"15","15","Town, Fringe","AL",80,87,14,95,32,28,90,11,17,165,10,0,12,12
"16","16","Town, Distant","AL",176,90,11,93,10,0,0,23,15,65,11,0,12,12
"17","17","Town, Distant","AL",168,61,40,98,21,5,25,21,6,25,8,2,11,10
"18","18","Rural, Fringe","AL",134,70,31,98,30,15,49,19,8,44,30,0,44,44
"19","19","Suburb, Large","AL",469,93,8,90,25,7,29,67,44,66,16,3,17,15
"20","20","Town, Remote","AR",88,78,23,94,26,21,79,13,20,166,7,5,8,3
"21","21","Town, Distant","AR",101,66,35,89,31,7,24,34,18,53,28,9,38,30
"22","22","Town, Remote","AR",136,18,83,98,10,5,49,19,9,49,12,11,17,6
"23","23","Suburb, Large","AR",577,84,17,87,22,30,139,26,25,95,20,12,22,11
"24","24","Town, Remote","AR",118,65,36,97,23,6,23,16,9,58,10,5,12,8
"25","25","Town, Remote","AR",305,43,58,90,10,2,13,29,9,29,25,11,42,32
"26","26","Town, Distant","AR",46,44,57,91,69,89,130,16,10,59,20,12,30,19
"27","27","Rural, Distant","AR",38,74,27,91,20,17,85,21,9,45,14,0,18,18
"28","28","Town, Distant","AR",173,11,90,99,3,7,228,12,10,83,11,10,16,7
"29","29","Rural, Remote","AR",47,66,35,83,85,28,32,16,10,62,9,0,13,13
